Продукт,Что продаем? ,Целевое завершение в чате,Надо расписать еще и в битре,Статус по target,Что пока не закрыто,
Кредит под залог недвижимости - основной,"Продаем следующий этап - работу в мессенджере с экспертом, клиент уже большой молодец, осталось немного обсудить детали без спама и давления

Наш эксперт по залоговым кредитам поможет во всем разобраться и оформить в лучшем виде","- Если клиент согласен, то говорим, что заявка переведена в работу, детали можно обсудить с персональным менеджером
- Даем ссылку на чат в удобном мессенджере, куда клиент должен перейти и нажать ""старт"", для того, чтобы продолжить диалог с менеджером в чате без давления и звонков, это обязательное действие, чтобы не звонили",,Частично решено,"По недвижимости нужен один общий ответ: какие объекты берем в работу сразу, какие только через ручную проверку, а какие не берем вовсе. Отдельно нужно подтвердить правила для комнат вне Москвы и Санкт-Петербурга, ипотеки, ареста и действующего залога.","1. Мы все объекты берем сразу, пока без всяких ступеней проверки 
2. мск/спб: тип недвижимости = квартира, комната, апартаменты, дом, коммерческая недвижимость И (тип владения = единоличный собственник ИЛИ все собственники будут согласны) И нет действующей ипотеки на данном объекте
3. мо/ло: аналогично пункту 2, кроме  тип недвижимости = комната
4. кроме мск, мо, спб, ло, но из списка: тип недвижимости = квартира, комната, апартаменты, дом, коммерческая недвижимость И (тип владения = единоличный собственник ИЛИ все собственники будут согласны) И нет действующей ипотеки на данном объекте"
Займ под залог ПТС,"Продаем следующий этап - работу в мессенджере с экспертом, клиент уже большой молодец, осталось немного обсудить детали без спама и давления

Наш эксперт по залоговым кредитам поможет во всем разобраться и оформить в лучшем виде","- Если клиент согласен, то говорим, что заявка переведена в работу, детали можно обсудить с персональным менеджером
- Даем ссылку на чат в удобном мессенджере, куда клиент должен перейти и нажать ""старт"", для того, чтобы продолжить диалог с менеджером в чате без давления и звонков, это обязательное действие, чтобы не звонили",,Частично решено,"По залогу ПТС нужен один общий ответ: какие автомобили берем сразу, какие только через ручную проверку, а какие не берем вовсе. Отдельно нужно подтвердить правила для старых авто, кредитных авто, ограничений и спорных VIN-кейсов.","1. Мы все берем сразу, пока без всяких ступеней проверки 
2. Старые - вообще не берем, спрашиваем про другой авто или пытаемся подобрать другой продукт (иномарки - до 20 лет, российские - до 10 лет, это прописано в red flags)
3. Авто в кредите - не берем вообще, но выясняем - это автокредит в банке или займ / лизинг / ломбард
4. Авто в займе / лизинге / ломбарде - берем, просто ссылку на заполнение не отдаем, ОП будет решать 
5. Ограничения / арест / VIN-кейсы - берем, просто ссылку на заполнение не отдаем, ОП будет решать "
БФЛ (РИ) - Реализация имущества,"Продаем следующий этап - работу в мессенджере с профильным специалистом по долгам, клиент уже большой молодец, осталось немного обсудить детали без спама и давления

Специалист поможет разобраться в маршруте и принять решение по следующему шагу без обещаний результата в чате","- Если клиент согласен, то говорим, что заявка переведена в работу, детали можно обсудить с профильным специалистом
- Даем ссылку на чат в удобном мессенджере, куда клиент должен перейти и нажать ""старт"", для того, чтобы продолжить диалог со специалистом в чате без давления и звонков, это обязательное действие, чтобы не звонили",,Частично решено,"Нужен один общий ответ: как по доходу, обязательным расходам и иждивенцам отличать сценарий списания долгов от сценария реструктуризации?","Если неравенство верное, то подходит на реализацию: 
((доход - пм - n*ижд)*60)*0.7 ≤ сд, где 
доход - сумма всех доходов, с которых уплочены налоги
пм - прожиточный минимум, всегда = 20 000
n*ижд - количество иждивенцев * 15 000
*60 - умножаем на 60 месяцев
сд - сумма всех долгов
"
БФЛ (РД) - Реструктуризация,"Продаем следующий этап - работу в мессенджере с профильным специалистом по долгам, клиент уже большой молодец, осталось немного обсудить детали без спама и давления

Специалист поможет разобраться в маршруте и принять решение по следующему шагу без обещаний результата в чате","- Если клиент согласен, то говорим, что заявка переведена в работу, детали можно обсудить с профильным специалистом
- Даем ссылку на чат в удобном мессенджере, куда клиент должен перейти и нажать ""старт"", для того, чтобы продолжить диалог со специалистом в чате без давления и звонков, это обязательное действие, чтобы не звонили",,Частично решено,"По каким правилам по доходу, обязательным расходам и иждивенцам мы ведем человека в реструктуризацию, а не в списание долгов?","Если неравенство верное, то подходит реструктруризацию: 
((доход - пм - n*ижд)*60)*0.7 > сд, где 
доход - сумма всех доходов, с которых уплочены налоги
пм - прожиточный минимум, всегда = 20 000
n*ижд - количество иждивенцев * 15 000
*60 - умножаем на 60 месяцев
сд - сумма всех долгов

"
Кредит без залога,"- Продаем самостоятельно оформление минимум по 3 реферальным ссылкам
- Клиент молодец, что обратился к нам, мы знаем, где сейчас лучше всего одобряют
- Продаем именно ""совместную работу"", надо хорошо поработать, чтобы получить деньги","- Если клиент согласен, подсвечиваем, что для максимального результата нужно оформить все 3 ссылки
- Если клиент с компа - выдаем 3 ссылки, подсказываем, что нужно кликнуть на каждую, откроются 3 страницы, потом запонить каждую и вернуться в чат, чтобы отписаться
- Если клиент с мобилы, то выдаем 3 ссылки последовательно - нужно заполнять по одной ссылке и каждый раз отписываться, чтобы получить новую",,Частично решено,"Когда ведем человека в беззалоговый кредит, когда в микрокредит, а когда честно говорим, что автоматического решения нет?","1. Если проходит по red flags - всегда преимущество у потреба перед микро, микро - это последний вариант
2. Микро больше 300к никак не наберем, поэтому если до 300к хочет пробовать - идем в микро, если нет, то не сможем помочь по этим сценариям"
Микрокредит без залога,"- Продаем самостоятельно оформление минимум по 5 реферальным ссылкам, лучше по 7
- Клиент молодец, что обратился к нам, мы знаем, где сейчас лучше всего одобряют
- Продаем именно ""совместную работу"", надо хорошо поработать, чтобы получить деньги","- Если клиент согласен, подсвечиваем, что для максимального результата нужно оформить все 5-7 ссылок
- Если клиент с компа - выдаем 5-7 ссылки, подсказываем, что нужно кликнуть на каждую, откроются 5-7 страниц, потом запонить каждую и вернуться в чат, чтобы отписаться
- Если клиент с мобилы, то выдаем 5-7 ссылок последовательно - нужно заполнять по одной ссылке и каждый раз отписываться, чтобы получить новую",,Частично решено,"Когда человек идет в микрокредит, а когда уже не подходит ни под микрокредит, ни под беззалоговый кредит. Отдельно нужно подтвердить, когда выдаем 5 ссылок, а когда 7.","1. Суммы запроса до 300к,особенно мелкие суммы 0-100к, когда нужно срочно, плохая КИ, везде отказы и прочие варианты не подходят
2. На микро пробуем всегда, тут нет ""не подходит""
3. Таргет всегда 7 ссылок, а там сколько заполнит"
Кредит под залог авто,"- Продаем самостоятельно оформление минимум по 3 реферальным ссылкам
- Клиент молодец, что обратился к нам, мы знаем, где сейчас лучше всего одобряют
- Продаем именно ""совместную работу"", надо хорошо поработать, чтобы получить деньги","- Если клиент согласен, подсвечиваем, что для максимального результата нужно оформить все 3 ссылки
- Если клиент с компа - выдаем 3 ссылки, подсказываем, что нужно кликнуть на каждую, откроются 3 страницы, потом запонить каждую и вернуться в чат, чтобы отписаться
- Если клиент с мобилы, то выдаем 3 ссылки последовательно - нужно заполнять по одной ссылке и каждый раз отписываться, чтобы получить новую",,Частично решено,"Какие кейсы по залогу авто можно вести через ссылки, а какие только через ручную проверку?","Это автономный сценарий, сюда ведем, если у клиента: 
- по КИ нет текущих просрочек, нет микрокредитов, не было просрочек более 1 месяца за последние 6 месяце, более 3 месяцев за последние 12 месяцев, более 6 месяцев за последние 36 месяцев
- есть работа, есть авто, соотношение платеж / доход < 40%
- если не подошел на основной сценарий Кредит под залог недвижимости"
Кредит под залог недвижимости - вспомогательный,"- Продаем самостоятельно оформление минимум по 3 реферальным ссылкам
- Клиент молодец, что обратился к нам, мы знаем, где сейчас лучше всего одобряют
- Продаем именно ""совместную работу"", надо хорошо поработать, чтобы получить деньги","- Если клиент согласен, подсвечиваем, что для максимального результата нужно оформить все 3 ссылки
- Если клиент с компа - выдаем 3 ссылки, подсказываем, что нужно кликнуть на каждую, откроются 3 страницы, потом запонить каждую и вернуться в чат, чтобы отписаться
- Если клиент с мобилы, то выдаем 3 ссылки последовательно - нужно заполнять по одной ссылке и каждый раз отписываться, чтобы получить новую",,Частично решено,"По географии недвижимости нужен один общий ответ: как трактовать случаи вида 'область без города', 'новая территория' или разное написание города, если от этого зависит основной или вспомогательный сценарий?","Так как у нас по большей части input будет - там все четко с этим, если мы доуточняем через чат - вот тут нужно уточнять и переспрашивать, сравнивать с какой-то табличкой, где это все есть, потом принимать решение, иначе никак - ни человек, ни машина не поймут деревня Вязки это МО или на Дальнем Востоке"
